gene_id,transcript_id,exon_length,cds_length,utr_size,utr_percentage,match,species
CAGL0A00099g,CAGL0A00099g-T,15741,15741,0,0.0,True,C. glabrata
CAGL0A00165g,CAGL0A00165g-T,1105,840,265,23.981900452488688,False,C. glabrata
CAGL0A00187g,CAGL0A00187g-T,2738,2271,467,17.05624543462381,False,C. glabrata
CAGL0A00209g,CAGL0A00209g-T,2437,2181,256,10.504718916700861,False,C. glabrata
CAGL0A00231g,CAGL0A00231g-T,2693,2382,311,11.548458967694021,False,C. glabrata
CAGL0A00253g,CAGL0A00253g-T,1094,672,422,38.57404021937843,False,C. glabrata
CAGL0A00275g,CAGL0A00275g-T,1858,801,1057,56.889128094725514,False,C. glabrata
CAGL0A00297g,CAGL0A00297g-T,1582,597,985,62.2629582806574,False,C. glabrata
CAGL0A00319g,CAGL0A00319g-T,1687,1530,157,9.306461173681091,False,C. glabrata
CAGL0A00341g,CAGL0A00341g-T,1132,570,562,49.64664310954063,False,C. glabrata
CAGL0A00363g,CAGL0A00363g-T,2450,2355,95,3.877551020408163,False,C. glabrata
CAGL0A00385g,CAGL0A00385g-T,3949,3210,739,18.713598379336542,False,C. glabrata
CAGL0A00407g,CAGL0A00407g-T,1978,765,1213,61.32457027300303,False,C. glabrata
CAGL0A00429g,CAGL0A00429g-T,5495,1395,4100,74.61328480436761,False,C. glabrata
CAGL0A00451g,CAGL0A00451g-T,6884,3324,3560,51.714119697850094,False,C. glabrata
CAGL0A00473g,CAGL0A00473g-T,2603,2361,242,9.296965040338073,False,C. glabrata
CAGL0A00495g,CAGL0A00495g-T,4070,2709,1361,33.43980343980344,False,C. glabrata
CAGL0A00517g,CAGL0A00517g-T,3931,3369,562,14.296616636988043,False,C. glabrata
CAGL0A00539g,CAGL0A00539g-T,1120,810,310,27.67857142857143,False,C. glabrata
CAGL0A00561g,CAGL0A00561g-T,1440,1239,201,13.958333333333334,False,C. glabrata
CAGL0A00583g,CAGL0A00583g-T,2352,1941,411,17.47448979591837,False,C. glabrata
CAGL0A00605g,CAGL0A00605g-T,3249,1923,1326,40.81255771006463,False,C. glabrata
CAGL0A00627g,CAGL0A00627g-T,986,654,332,33.67139959432049,False,C. glabrata
CAGL0A00649g,CAGL0A00649g-T,384,384,0,0.0,True,C. glabrata
CAGL0A00715g,CAGL0A00715g-T,291,291,0,0.0,True,C. glabrata
CAGL0A00737g,CAGL0A00737g-T,1824,1650,174,9.539473684210527,False,C. glabrata
CAGL0A00781g,CAGL0A00781g-T,4004,3789,215,5.36963036963037,False,C. glabrata
CAGL0A00803g,CAGL0A00803g-T,4801,3489,1312,27.327640074984377,False,C. glabrata
CAGL0A00825g,CAGL0A00825g-T,1731,1095,636,36.741767764298096,False,C. glabrata
CAGL0A00847g,CAGL0A00847g-T,1505,990,515,34.21926910299003,False,C. glabrata
CAGL0A00869g,CAGL0A00869g-T,2756,2556,200,7.256894049346879,False,C. glabrata
CAGL0A00891g,CAGL0A00891g-T,2561,2259,302,11.792268645060524,False,C. glabrata
CAGL0A00913g,CAGL0A00913g-T,5178,4281,897,17.323290845886444,False,C. glabrata
CAGL0A00935g,CAGL0A00935g-T,1623,681,942,58.04066543438078,False,C. glabrata
CAGL0A00957g,CAGL0A00957g-T,1811,1212,599,33.075648812810606,False,C. glabrata
CAGL0A00979g,CAGL0A00979g-T,1723,237,1486,86.24492164828787,False,C. glabrata
CAGL0A01001g,CAGL0A01001g-T,1106,660,446,40.3254972875226,False,C. glabrata
CAGL0A01023g,CAGL0A01023g-T,1563,1236,327,20.92130518234165,False,C. glabrata
CAGL0A01045g,CAGL0A01045g-T,2304,1452,852,36.97916666666667,False,C. glabrata
CAGL0A01067g,CAGL0A01067g-T,2054,1926,128,6.2317429406037,False,C. glabrata
CAGL0A01089g,CAGL0A01089g-T,2243,1608,635,28.31029870708872,False,C. glabrata
CAGL0A01111g,CAGL0A01111g-T,986,210,776,78.70182555780933,False,C. glabrata
CAGL0A01133g,CAGL0A01133g-T,2753,2406,347,12.604431529240829,False,C. glabrata
CAGL0A01155g,CAGL0A01155g-T,2167,1830,337,15.551453622519611,False,C. glabrata
CAGL0A01177g,CAGL0A01177g-T,3153,2553,600,19.029495718363464,False,C. glabrata
CAGL0A01193g,CAGL0A01193g-T,312,312,0,0.0,True,C. glabrata
CAGL0A01199g,CAGL0A01199g-T,2464,1842,622,25.243506493506494,False,C. glabrata
CAGL0A01221g,CAGL0A01221g-T,4502,882,3620,80.40870724122613,False,C. glabrata
CAGL0A01243g,CAGL0A01243g-T,5146,1596,3550,68.98561989895065,False,C. glabrata
